WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
0,1,0,1,0,0,1,0,0,1,0,12,0,264,9,54,0,0,2
1,1,0,0,0,0,0,1,0,1,-9,9,1,207,3,52,1,6,3
1,0,1,1,0,0,0,0,0,1,0,7,1,244,12,53,1,15,2
1,0,0,1,0,0,1,1,0,1,1,9,0,221,6,47,1,22,3
1,0,1,1,0,0,1,0,0,1,3,5,0,571,64,56,0,0,2
0,0,0,0,0,0,1,0,0,1,0,10,3,405,19,55,0,0,2
0,0,0,1,0,1,0,1,0,1,0,10,0,239,11,48,1,30,2
1,1,1,1,0,1,0,1,0,1,0,12,3,308,14,47,0,0,2
0,0,0,1,1,0,0,0,0,1,1,4,0,716,324,53,0,0,3
0,0,0,1,0,1,1,1,0,1,0,7,6,280,36,47,1,5,2
1,0,0,0,0,1,1,0,0,1,0,7,6,366,37,46,0,0,3
1,0,1,1,0,1,1,0,0,0,0,15,0,310,4,55,0,0,1
1,1,1,1,0,1,0,0,0,1,-9,10,7,282,44,54,1,7,3
0,0,0,1,0,0,0,1,0,1,1,12,0,241,5,52,1,15,3
1,1,1,1,0,0,0,1,0,1,0,10,2,229,11,48,0,0,2
0,0,0,1,0,0,0,1,0,1,-9,10,0,472,0,49,1,13,3
0,0,0,1,0,0,1,0,0,1,1,7,1,368,3,57,0,0,3
1,0,0,1,0,0,1,1,0,1,0,10,2,247,13,51,1,8,2
1,0,0,1,1,1,0,1,0,1,2,9,6,502,110,57,0,0,3
1,0,0,1,0,0,1,0,0,1,0,13,1,412,6,50,0,0,3
0,0,0,1,0,0,0,0,0,1,0,9,4,218,19,55,0,0,2
0,0,0,1,0,0,0,0,0,0,0,10,3,246,12,46,0,0,2
1,0,0,1,0,0,0,1,0,1,0,9,0,277,4,57,0,0,2
1,0,0,1,1,0,1,0,0,1,5,4,3,612,287,50,1,16,2
0,0,0,1,1,1,1,1,0,1,1,12,6,317,56,48,0,0,2
0,0,0,1,1,0,1,0,0,0,0,9,2,433,29,46,0,0,2
1,1,1,0,0,0,0,1,0,1,4,9,0,268,11,55,1,11,1
0,0,0,1,0,0,0,0,0,1,3,7,0,655,2,56,0,0,3
1,1,1,1,0,1,0,1,0,0,0,10,1,290,8,46,0,0,1
0,1,0,1,1,0,0,0,1,1,0,0,0,562,8,51,0,0,3
1,0,0,1,0,1,0,1,0,1,1,9,0,202,5,54,1,17,3
1,1,0,0,1,0,1,0,0,1,14,10,0,463,4,52,0,0,2
0,0,0,0,0,0,1,0,0,1,1,11,1,364,10,52,1,10,3
0,0,0,1,0,0,0,0,0,1,-9,10,0,276,1,51,0,0,3
1,0,0,1,0,0,0,1,0,1,-9,12,0,315,2,52,0,0,3
1,1,1,1,0,0,0,1,0,1,0,6,2,203,4,47,1,12,2
1,0,0,1,0,1,0,1,0,1,0,10,0,228,13,53,1,13,2
1,1,0,1,1,1,0,1,0,1,0,18,0,798,19,49,0,0,2
1,1,0,1,1,1,1,1,0,1,0,9,0,321,17,49,0,0,2
1,0,0,0,0,1,0,1,0,1,3,6,0,436,44,49,1,10,2
1,0,1,1,0,0,0,0,0,1,0,10,12,250,23,56,0,0,1
0,1,0,0,0,0,0,1,0,1,5,6,12,264,11,55,1,6,1
0,0,0,1,0,1,1,1,0,1,0,10,0,274,17,57,0,0,2
1,0,0,0,0,1,0,0,0,1,0,10,1,225,3,57,0,0,3
0,0,0,1,1,1,1,1,0,1,-9,5,0,745,22,52,0,0,3
1,0,0,0,1,1,0,1,0,1,0,10,1,281,9,57,0,0,3
0,0,0,0,1,0,0,1,0,1,3,12,0,319,22,49,1,8,3
1,0,0,1,0,1,1,1,0,1,0,7,7,314,73,55,0,0,2
0,0,0,1,0,1,0,1,0,0,-9,15,0,420,1,49,0,0,3
0,1,0,1,0,0,0,1,0,1,0,11,0,390,2,49,0,0,2
0,0,0,1,0,0,0,1,0,1,1,11,1,243,3,56,1,31,2
1,0,0,1,0,1,0,0,0,1,0,12,0,279,15,57,0,0,2
0,0,0,1,0,0,0,1,0,0,0,11,0,252,2,49,0,0,3
0,0,0,0,0,1,0,1,0,1,1,9,2,220,6,56,1,15,2
0,1,0,1,0,0,0,0,0,1,0,7,0,219,4,50,1,5,1
0,1,0,1,1,0,1,0,0,1,15,3,0,672,12,50,0,0,2
1,0,0,0,0,1,0,1,0,1,0,11,0,259,6,56,0,0,3
0,0,0,1,0,0,1,0,0,1,0,7,1,273,24,48,1,43,2
1,0,0,0,0,0,0,0,0,1,1,10,8,230,30,55,1,14,3
0,0,0,1,1,0,1,1,0,1,2,9,0,334,7,50,1,43,2
1,1,0,1,1,0,1,0,1,1,0,12,0,372,14,56,1,6,2
0,1,0,1,0,1,0,0,0,1,3,9,2,325,51,49,1,12,1
0,0,0,1,0,0,0,0,1,1,1,11,0,314,3,49,1,9,2
1,1,1,1,0,0,1,0,1,1,0,12,0,253,4,54,0,0,1
0,0,0,1,0,1,0,1,0,1,0,8,1,211,12,48,0,0,2
0,0,0,1,0,0,0,0,0,1,0,12,0,305,2,49,0,0,3
0,0,0,1,0,0,0,1,0,1,-9,14,0,286,0,50,0,0,3
1,0,0,1,0,1,1,0,1,1,0,12,0,401,14,46,0,0,2
1,0,0,0,1,1,1,1,0,1,1,10,1,268,6,54,1,18,3
0,0,0,1,0,0,0,0,1,1,1,8,0,335,3,52,1,10,3
0,0,0,1,0,1,1,1,0,1,-9,6,1,546,42,55,1,39,3
1,1,0,0,0,1,0,1,0,1,1,9,0,261,16,47,0,0,1
0,0,0,1,0,0,0,0,0,1,3,10,0,300,1,54,1,7,3
0,0,0,1,0,0,1,0,0,1,0,12,0,399,20,55,1,52,3
0,0,0,1,0,0,1,0,0,1,8,12,0,459,12,53,0,0,2
1,0,0,1,0,1,0,1,0,1,0,9,1,212,15,57,1,12,3
1,1,1,0,0,1,0,1,0,1,0,11,3,238,6,53,0,0,2
1,0,0,1,0,0,1,1,0,1,12,9,0,678,4,48,0,0,3
1,1,0,1,0,0,0,0,0,1,0,11,0,242,4,46,0,0,2
1,0,0,1,0,0,1,0,0,1,0,8,0,459,3,56,0,0,3
1,0,1,1,0,0,0,0,0,1,0,10,12,250,23,56,0,0,1
0,0,0,1,0,1,0,1,0,1,2,10,2,361,71,53,0,0,2
0,0,0,1,0,0,0,0,0,1,0,9,0,393,4,56,0,0,3
0,0,0,0,1,1,1,0,1,1,0,7,0,415,27,46,0,0,3
1,0,0,0,0,0,0,0,0,1,0,8,0,235,6,54,0,0,2
0,0,0,1,1,0,1,0,0,1,0,9,0,510,6,53,0,0,3
1,1,0,1,0,0,0,0,0,1,4,2,0,471,4,51,0,0,2
0,0,1,1,0,1,1,1,0,1,10,4,0,596,26,56,1,43,2
0,0,0,1,0,0,0,0,1,1,0,10,0,269,5,53,0,54,2
1,0,0,0,1,0,1,0,0,1,2,14,1,350,7,47,0,0,3
1,0,0,1,1,0,1,0,0,1,0,9,0,245,5,53,0,0,2
0,0,0,1,0,0,0,1,0,1,0,10,1,216,6,55,0,0,3
1,0,1,1,0,1,1,0,0,1,0,13,0,323,22,48,0,0,2
0,0,0,1,0,1,0,1,0,1,0,9,0,224,7,49,0,0,2
1,1,0,1,1,1,0,1,0,1,0,3,0,598,9,48,0,0,2
1,0,0,1,0,1,0,1,0,1,0,9,1,213,17,51,0,0,3
0,1,0,1,0,1,1,0,1,1,0,11,2,319,87,52,1,20,1
1,1,0,1,0,1,1,1,0,1,2,14,7,374,104,53,0,0,2
1,0,0,1,0,1,1,1,0,1,1,8,9,304,55,50,1,11,1
0,0,0,1,1,0,1,0,0,1,1,6,3,388,112,49,1,9,3
0,1,0,0,1,0,1,0,0,1,6,8,0,402,13,52,0,0,1
0,0,0,0,0,0,0,1,0,1,0,12,3,240,14,49,0,0,2
1,1,0,1,0,1,1,1,0,1,2,14,7,374,104,53,0,0,2
1,1,0,1,1,0,1,0,0,1,2,9,0,418,7,55,0,0,2
0,0,0,1,1,0,1,0,0,1,0,3,0,713,2,46,0,0,3
0,1,1,0,0,0,1,0,0,1,0,11,2,280,21,52,1,0,1
1,0,0,0,0,0,1,0,0,1,1,10,1,263,25,52,1,7,2
1,0,0,0,1,0,0,0,0,1,-9,11,0,334,2,48,1,7,3
0,0,0,1,0,1,1,1,0,1,0,10,2,297,11,47,0,0,3
0,0,0,1,0,0,0,0,0,1,0,11,0,298,9,46,0,0,3
0,0,0,1,0,0,0,0,1,1,1,9,0,283,1,52,0,0,3
1,0,0,1,1,1,0,0,1,1,0,9,3,255,16,51,0,0,2
1,1,0,1,0,0,1,1,0,1,7,9,0,413,3,51,0,0,1
0,0,0,1,0,1,1,0,0,1,0,12,0,332,19,55,1,11,2
1,0,0,0,0,1,0,1,0,1,0,12,0,245,4,57,0,0,2
0,0,0,0,0,0,0,0,0,1,1,11,3,369,38,54,0,0,2
1,0,0,0,1,0,0,0,0,0,-9,9,0,629,3,47,0,0,3
1,0,0,1,0,0,0,1,0,1,0,7,0,219,11,52,0,0,2
1,0,1,1,0,1,0,1,0,1,1,6,22,210,45,57,1,4,2
1,0,0,1,0,0,0,0,0,1,1,9,1,237,14,57,1,20,3
1,0,1,0,1,0,0,0,0,1,9,8,2,419,43,47,0,0,2
1,1,0,1,0,0,1,0,0,1,1,11,0,449,5,54,0,0,2
1,0,0,0,1,0,1,1,0,1,2,5,1,331,21,56,1,43,2
0,0,0,1,0,1,1,1,0,1,0,12,0,283,3,57,0,0,3
1,1,0,1,1,0,1,0,0,1,4,6,0,494,9,53,0,0,1
0,0,0,1,0,0,0,0,0,1,2,0,0,484,1,53,0,0,3
0,0,0,0,0,0,0,0,0,1,-9,12,0,392,3,52,0,0,3
1,0,0,1,0,0,0,1,0,0,0,9,0,399,4,55,0,0,2
1,1,0,0,1,1,0,0,1,1,1,10,0,246,4,53,1,8,2
1,0,0,1,0,0,0,0,0,0,0,13,0,501,1,51,1,12,3
0,0,0,1,0,1,1,1,0,1,0,12,0,283,3,57,0,0,3
1,0,0,1,0,1,0,0,0,1,9,9,24,534,82,49,1,1,2
0,0,0,1,0,1,0,1,0,1,0,12,0,521,14,46,0,0,3
0,0,0,1,0,0,0,0,0,1,0,9,0,240,14,56,0,0,2
0,1,0,0,0,0,1,0,0,1,3,8,0,568,6,55,0,0,2
1,1,1,1,0,0,1,1,0,1,2,10,1,335,23,55,0,0,1
0,0,0,0,0,1,1,1,0,1,2,9,5,345,112,55,1,21,1
0,0,1,1,0,0,0,0,0,1,0,10,5,274,40,48,0,0,2
0,1,1,1,0,1,0,1,0,1,0,9,29,257,47,54,1,8,2
0,0,0,1,1,1,1,0,1,1,1,8,4,378,81,46,0,0,3
0,0,0,1,0,0,0,1,0,1,0,10,3,231,12,54,1,21,2
0,0,0,1,0,0,1,0,0,1,2,9,1,269,7,50,0,0,3
0,0,0,0,0,0,1,1,0,1,-9,12,0,331,2,52,1,20,3
0,0,0,0,0,0,0,0,0,1,-9,10,0,297,3,48,0,0,3
0,0,0,0,1,0,0,0,0,1,-9,14,0,368,3,52,0,0,3
0,1,1,1,0,1,0,1,0,1,0,10,1,220,11,53,0,0,2
1,0,0,1,0,1,1,0,1,1,0,10,0,309,29,50,1,4,2
1,0,0,1,0,0,0,0,0,1,0,9,8,228,37,56,1,36,3
0,0,0,1,0,0,0,1,0,1,20,8,0,495,10,49,1,3,3
